gene,Control_1,Control_2,Control_3,Control_4,Treatment_1,Treatment_2,Treatment_3,Treatment_4
Gene1,8.69,8.09,7.87,8.84,10.51,9.95,10.37,9.61
Gene2,5.86,5.27,5.14,5.87,7.28,8.16,7.12,7.68
Gene3,5.56,6.62,6.75,5.91,8.88,8.47,8.77,8.24
Gene4,5.81,5.77,6.64,7.39,9.1,8.78,9.75,9.08
Gene5,5.09,5.15,5.0,4.93,6.98,7.75,7.52,8.03
Gene6,5.85,5.24,5.96,6.68,8.35,8.15,8.03,8.08
Gene7,5.88,5.53,6.6,5.89,8.54,9.07,9.1,8.41
Gene8,4.03,4.19,3.82,3.18,6.66,6.75,6.56,6.02
Gene9,7.14,6.98,7.1,7.74,5.33,4.99,4.94,4.99
Gene10,6.72,6.69,6.45,6.7,5.12,4.57,4.08,4.03
Gene11,4.9,5.4,5.41,4.67,2.94,2.52,3.32,2.81
Gene12,6.48,5.61,5.68,5.91,3.72,3.52,2.8,3.37
Gene13,6.62,6.43,6.35,7.31,3.95,3.77,4.36,4.16
Gene14,5.66,6.0,5.88,5.83,3.57,3.3,2.94,3.04
Gene15,5.5,5.79,5.28,4.98,3.24,2.67,2.43,3.36
Gene16,3.97,4.45,4.04,3.81,1.26,1.55,1.65,1.43
Gene17,6.55,6.05,6.67,5.95,6.59,6.94,7.1,7.35
Gene18,5.53,6.45,6.63,6.54,5.78,6.31,6.89,5.55
Gene19,6.52,6.77,6.05,6.56,5.9,6.0,6.0,6.41
Gene20,4.13,4.55,3.79,4.12,4.55,4.39,3.64,4.43
