sepal_length,sepal_width,petal_length,petal_width,species
5.6,3.2,1.4,0.1,setosa
5.3,2.5,1.8,0.2,setosa
5.1,3.3,1.7,0.1,setosa
4.9,3.3,1.7,0.1,setosa
4.9,3.1,1.5,0.3,setosa
4.6,3.8,1.7,0.3,setosa
5.3,3.1,1.5,0.1,setosa
4.9,3.6,1.4,0.2,setosa
4.8,3.1,1.4,0.2,setosa
4.6,3.5,1.8,0.3,setosa
4.9,3.1,1.4,0.4,setosa
5.0,3.2,1.5,0.5,setosa
5.0,3.6,1.6,0.2,setosa
4.6,3.3,1.5,0.3,setosa
5.3,3.8,1.5,0.3,setosa
4.7,3.9,1.6,0.2,setosa
5.2,3.4,1.7,0.4,setosa
5.8,2.9,1.3,0.2,setosa
5.1,3.7,1.6,0.1,setosa
4.9,3.7,1.5,0.3,setosa
5.8,2.7,4.4,1.4,versicolor
6.0,2.8,4.0,1.4,versicolor
6.0,3.2,4.9,1.3,versicolor
5.7,2.6,4.5,1.3,versicolor
5.7,2.8,4.0,1.4,versicolor
5.7,3.2,4.5,1.4,versicolor
5.3,2.9,4.6,1.1,versicolor
5.8,2.8,3.7,1.4,versicolor
6.3,2.5,4.5,1.0,versicolor
5.9,2.3,4.8,1.4,versicolor
5.9,2.6,4.9,1.7,versicolor
4.9,3.2,5.1,1.4,versicolor
5.3,3.1,4.2,1.2,versicolor
5.3,3.0,4.7,1.2,versicolor
6.2,2.4,4.7,1.3,versicolor
5.8,2.8,4.7,1.5,versicolor
6.2,2.8,4.3,1.4,versicolor
6.0,3.0,4.2,0.8,versicolor
6.4,3.5,4.5,1.3,versicolor
5.8,2.8,4.3,1.1,versicolor
6.3,2.7,5.7,1.9,virginica
6.9,2.9,6.1,2.1,virginica
8.0,2.4,5.2,2.2,virginica
8.2,2.9,5.6,1.9,virginica
7.5,2.9,6.0,1.9,virginica
5.8,3.1,5.9,2.3,virginica
6.5,2.8,5.9,2.1,virginica
6.8,3.0,6.2,2.1,virginica
7.8,3.4,6.0,1.6,virginica
7.0,3.1,6.0,2.3,virginica
6.3,3.3,5.3,2.5,virginica
5.7,2.4,4.7,1.8,virginica
5.9,3.6,5.4,1.6,virginica
7.3,2.8,4.9,2.2,virginica
7.0,2.9,6.4,2.0,virginica
7.6,3.2,6.5,2.0,virginica
5.8,3.8,5.3,1.9,virginica
6.2,2.9,5.7,2.1,virginica
7.0,3.6,5.5,1.7,virginica
5.8,2.8,4.7,2.2,virginica
