gene,log2FoldChange,pvalue,padj
GENE98,0.13052763608994467,0.6461801760798603,0.9275313532246799
GENE66,0.6781200142854115,0.5804840372490148,0.9214032337285949
GENE300,3.314814420961806,5.5676333625103686e-05,0.001284838
GENE119,0.5714114072575103,0.7004946139261853,0.9466143431434936
GENE164,-0.410341159,0.7837024721488574,0.9796280901860717
GENE240,0.426216667,0.4004679575912838,0.8769371334115703
GENE268,-0.715070689,0.7581675004751135,0.9846331175001475
GENE174,0.17057598740832194,0.6392940737857914,0.9265131504141904
GENE101,-0.707685371,0.093174061,0.5274003471191603
GENE252,0.45893097352738804,0.28034697845299317,0.7715971884027334
GENE113,0.030115105,0.9756750672828581,1
GENE294,3.4248010485105125,8.655072603868545e-05,0.001622826
GENE40,0.098430618,0.5720524382075488,0.9276526024987278
GENE59,0.16563171570178198,0.8221595888946275,0.9905537215597922
TP53,-2.551642923,0.000282042,0.003678805
GENE161,-0.487340835,0.15787971258964756,0.6315188503585902
GENE183,-0.535446249,0.90895076,1
GENE204,0.5269010260174515,0.1943075588366796,0.6405743697912515
GENE124,-0.700925531,0.739433533,0.9644785212638374
GENE72,0.7690182832329846,0.49522760989441994,0.9004138361716726
GENE274,0.005116531,0.5922393894354663,0.9302189362860728
GENE176,0.4135916245180119,0.2523159534334652,0.7278344810580726
GENE258,-0.353834733,0.3611224845690189,0.8666939629656454
GENE179,-0.132328417,0.3830581808662671,0.8839804173836933
GENE224,-0.806357936,0.705875087,0.9496077406249737
GENE216,0.3794846102466337,0.31466082208036067,0.8068226207188735
GENE99,0.002556728,0.6050985963269453,0.9309209174260697
GENE84,-0.259135109,0.9650614124685808,1
GENE34,-0.528855464,0.764755803,0.9762840037861227
GENE56,0.4656400595580993,0.9873075995761167,1
GENE120,0.37596651634338707,0.20448609237764676,0.6596325560569251
GENE265,-0.126284076,0.13257427368305252,0.5936161508196383
GENE284,2.3810922505865753,2.8509588359867846e-05,0.00095032
GENE25,-0.272191362,0.3533479557108941,0.8618242822216929
GENE33,-0.006748612,0.6888925332731866,0.9393989090088907
GENE126,1.0952278129049893,0.4473308844760879,0.8887368565750089
GENE165,0.4816880646221609,0.5441553260563937,0.922297163
GENE116,0.15077367116680623,0.5592915480269144,0.9168713902080564
GENE146,0.3909114358886552,0.9997317896218241,0.9997317896218241
GENE283,3.793008408072676,1.8656783748428172e-05,0.000932839
GENE96,-0.731757474,0.7109612545353863,0.9521802516098923
GENE134,0.2367962153175908,0.1928960465483518,0.6429868218278394
GENE203,0.5415256215876385,0.17164354700988382,0.6279641963776238
GENE18,-2.642876334,0.000826459,0.007083936
GENE39,-0.664093024,0.10468082201581207,0.5607901179418503
GENE57,-0.419608762,0.40555725596831427,0.8690512627892448
GENE173,-0.038550855,0.7673803928899381,0.9713675859366305
GENE49,0.1718091447842307,0.12990146580924755,0.5995452268119118
GENE296,2.653545202369673,2.5790356914211282e-05,0.000967138
GENE130,-0.251737827,0.075048626,0.48944755938514833
GENE69,0.18081801252381707,0.15563760819084377,0.6309632764493667
GENE206,-0.46891252,0.6588310075630539,0.92359487
GENE223,0.34313009518725673,0.528246407,0.9107696677795071
GENE278,-0.300108439,0.2753654521491947,0.7720526695771814
GENE201,0.17889368017414164,0.12207016170323072,0.6103508085161536
GENE139,0.4067586086848349,0.846412269,0.9996995308766705
GENE193,0.10704687206510198,0.5175104784255613,0.9186576540098721
GENE6,-2.917068478,0.000412624,0.004584706
GENE155,0.14653623664934062,0.9563484758957863,1
GENE182,-0.428578778,0.4656011759225426,0.9070152777711867
GENE272,-0.717931076,0.3949281815787033,0.8776181812860073
BRCA1,0.732824384,0.41974159479745493,0.8624827290358663
GENE64,-0.598103312,0.12932568086373533,0.6062141290487594
GENE114,1.231621056242643,0.9869002072556228,1
GENE79,0.045880388,0.9640639210508148,1
GENE115,-0.096180482,0.7132536283187579,0.9510048377583439
GENE122,-0.454693727,0.8314103807770106,0.9858621115932932
GENE194,-0.622869389,0.2953321688840104,0.7910683095107423
GENE15,-3.662458916,0.000103133,0.001473326
GENE172,-0.407905142,0.077343542,0.49368218615535336
GENE30,-0.145846875,0.47602324587940376,0.9095985590052301
GENE245,-0.600148204,0.7276821065903248,0.9532953361445303
GENE121,0.39551597352152346,0.9153808252691503,1
GENE12,-3.032864877,0.000429,0.004596426
GENE136,0.7749672025087697,0.4118463137994704,0.8520958216540767
GENE128,-0.283148865,0.872760695,1
GENE16,-3.081143765,0.000902554,0.007125425
GENE235,1.0719720446626628,0.22529496838855845,0.6896784746588523
GENE28,0.18784900917283598,0.5947659937171218,0.9293218651830029
GENE222,-0.933632596,0.3960563679956717,0.8736537529316287
GENE271,0.7206366445330578,0.31958711050878824,0.8056817911986258
GENE195,0.086590463,0.4861789684263482,0.9059235436515805
GENE104,-0.401138635,0.8957505946963705,1
GENE273,0.5815818760774798,0.6636213792650212,0.9259833199046807
GENE149,0.2609707828084488,0.780538044,0.9797548674746674
GENE75,-1.309872552,0.16164993443824965,0.6298049393698039
GENE199,0.029104359222999948,0.6517308116008895,0.9179307205646331
GENE50,-0.881520078,0.715920675,0.9503371790524301
GENE151,0.12524642517293827,0.8571650211435409,1
GENE46,-0.359922104,0.7734351001315987,0.9749181934431916
GENE103,-0.171357258,0.9528909098727308,1
GENE255,-0.759684983,0.069067638,0.4604509192589336
GENE68,0.5017664489460121,0.9110366658399992,1
GENE168,0.9483964913269737,0.582891073,0.9203543257241321
GENE269,-0.220022243,0.46007656891819537,0.9021109194474419
GENE97,0.14806013853228803,0.4818140115293845,0.9090830406214803
GENE236,0.3169595111590056,0.24888185716987477,0.7320054622643375
GENE143,-0.803741617,0.10355672181838076,0.5648548462820768
GENE251,-0.630441977,0.555986403,0.9164611040641846
GENE293,2.705317621527894,9.694704638049357e-05,0.001530743
GENE26,0.055461295,0.9525588686982647,1
GENE118,-0.584339019,0.8231052687216013,0.9837911578345832
GENE198,0.076862553,0.36231402977313276,0.8558599128499199
GENE38,-0.979835062,0.5196992894674524,0.9064522490711379
GENE279,0.034901042,0.14669334898938355,0.6112222874557648
GENE53,-0.338461,0.7209301157986714,0.9485922576298308
GENE226,0.544475298,0.8094398789635905,0.9871218036141348
GENE106,0.2020254284072692,0.6391259679114599,0.9307659726865921
GENE86,-0.250878522,0.9713848853722571,1
GENE76,0.4109512521876119,0.6667497870102604,0.9260413708475839
GENE41,0.3692332899977052,0.46945397630470814,0.9086205992994352
GENE105,-0.080642856,0.48287391514642725,0.9053885908995511
GENE4,-2.038485072,0.000806837,0.007119147
GENE154,0.11612684858050178,0.1727014443939202,0.6167908728354293
GENE145,0.12994139712421177,0.8222559586735737,0.9867071504082885
GENE112,-0.013256938,0.1238479051167356,0.6090880579511587
GENE238,0.093227157,0.5102968359314702,0.9112443498776254
GENE123,0.7013971554680496,0.9523099176273279,1
GENE244,0.43287759708506074,0.2898150971268197,0.7832840462887019
MYC,-2.869132151,0.000177448,0.002419742
GENE3,-2.476155731,0.000750617,0.007506172
GENE181,0.3128336738825031,0.4226318428447457,0.862513965
GENE286,2.023956100238749,8.967655278610006e-05,0.001582527
GENE231,-0.365183316,0.10802406186212056,0.5685476940111608
GENE44,-0.150551848,0.16121366560622558,0.6363697326561536
GENE152,0.17322410474848784,0.28498069665603776,0.7772200817891939
GENE185,-0.111731393,0.5382900147018203,0.9175397977871935
GENE125,0.29342854690013515,0.6327444361390003,0.9397194596123768
GENE220,0.04093707,0.48773982963108947,0.9032219067242399
GENE285,4.066516687328133,1.7337442192115955e-05,0.001040247
GENE207,0.2575176336043299,0.2227860801791876,0.6890291139562503
GENE210,1.9263657453273606,0.5002635582497287,0.8986770507480156
GENE54,0.30583814442043394,0.12728134160980478,0.6158774594022812
GENE218,-0.118409303,0.13426740706920282,0.5923562076582477
GENE237,-1.012571293,0.40194849765181284,0.8738010818517671
GENE135,-0.459712117,0.6144241795845284,0.9262676074138619
GENE169,-0.122694058,0.8828209225254278,1
GENE190,-0.757423612,0.952044592,1
EGFR,-0.11288815,0.060295768906283444,0.44118855297280574
GENE209,0.25752384315302396,0.9019489894107112,1
GENE298,3.1536497604383045,6.686435512812111e-05,0.001432808
GENE200,-0.571485149,0.27813833783928343,0.7726064939980096
GENE262,-0.029762678,0.6951472031872651,0.9436387373582784
GENE297,3.4497999377166253,1.7088841650247844e-05,0.001281663
GENE153,-0.340012361,0.4780169285445888,0.90762708
